#mã;họ_tên;số_dt;cccd
CUST001;Tran Hoang Anh;0946913810;362950628
CUST002;Pham Linh Chi;0923756669;826600539
CUST003;Bui Van Binh;0989254563;553035110
CUST004;Nguyen Tram Anh;0922575562;334760738
CUST005;Pham Thi Linh;0990801586;128492780
CUST006;Bui Van Dung;0997226012;853041955
CUST007;Bui Duc Hanh;0939587039;582334538
CUST008;Ngo Thi Tam;0910872248;914763202
CUST009;Le Quang Hanh;0955667651;398362082
CUST010;Le Van Dung;0955176955;209747451
CUST011;Tran Thi My Hanh;0922981052;485451171
CUST012;Vu Quang Minh;0945503389;966647391
CUST013;Nguyen Duy Khanh;0981971316;234031070
CUST014;Dang Van Binh;0984093639;414797776
CUST015;Ngo Viet Giang;0987490893;306468299
CUST016;Tran Lan Anh;0998753260;344703907
CUST017;Hoang Van Binh;0941244663;208449460
CUST018;Dang Thi Diu;0970855700;782560971
CUST019;Vu Thuy Chi;0959684848;481469012
CUST020;Pham Lan Nhu;0996977837;176667861
CUST021;Ngo Lan Chi;0981691040;882893941
CUST022;Pham Linh Chi;0972043515;507437181
CUST023;Hoang Thuy Linh;0939476249;835098955
CUST024;Vu Lan Anh;0940742311;982403818
CUST025;Nguyen Thu Giang;0963843426;387484583
CUST026;Tran Trung Dung;0986125617;870854579
CUST027;Vu Thi Dung;0997971488;636045484
CUST028;Dang Hoang Khanh;0929175900;384412919
CUST029;Le Trung Dung;0985345555;678722458
CUST030;Ngo Hoang Minh;0967503414;726563708
